sku,customer_uuid,sale_ts,quantity,unit_price,pc_points
P1001,4fb423f9-70a8-46aa-af9b-20ff3b964e54,2025-09-17T08:30:37.518757,3,18.96,0
P1005,a3d8976d-414d-45a0-a6b0-96dece5c8519,2025-09-17T06:19:29.518757,2,23.58,37
P1014,8c2a359a-d9a0-4ff0-84a0-ca002c1783bc,2025-09-16T20:40:25.518757,3,20.23,48
P1016,a3d77441-3817-4f4b-837c-9a9a28b49e67,2025-09-16T14:16:58.518757,2,7.07,2
P1020,aabbd1ef-e8da-4cae-bb6d-d7332f8d1388,2025-09-16T12:09:56.518757,1,9.06,0
P1010,21b2a9bd-901b-45a7-9608-fcfd74e0d7c1,2025-09-16T16:43:37.518757,2,5.38,0
P1012,cf1fb156-2702-4617-81ea-79a513faa98e,2025-09-16T13:43:44.518757,3,13.04,31
P1019,bcbd12d5-a45a-4148-9276-75ec17746782,2025-09-17T00:21:00.518757,2,5.64,1
P1012,f3db4f1f-b526-4b54-b379-04c077d9a369,2025-09-16T19:24:46.518757,3,14.26,34
P1001,aabbd1ef-e8da-4cae-bb6d-d7332f8d1388,2025-09-17T04:18:56.518757,1,18.49,0
P1010,58af7b2b-c971-4547-aec2-e16b2725286d,2025-09-17T00:38:14.518757,2,5.5,1
P1014,a3d77441-3817-4f4b-837c-9a9a28b49e67,2025-09-16T10:47:14.518757,2,18.78,30
P1016,4f65ba96-e923-4082-b5d4-662baeeaf0da,2025-09-16T18:09:18.518757,3,7.65,0
P1008,a0a2b93b-cd88-427a-aa69-3c4ca0fb75d3,2025-09-17T01:02:06.518757,2,10.0,0
P1020,c56e0715-4596-4669-a9fa-3f55c2b884be,2025-09-16T12:21:21.518757,1,8.53,1
P1002,fe22e212-6a81-46d4-9ecf-4a0f5e9e9721,2025-09-16T12:42:36.518757,1,10.85,0
P1019,c785af45-8a43-4ae3-ad96-fc99aa575f4b,2025-09-16T18:36:27.518757,1,5.71,0
P1001,e3371595-70ed-49c9-8c00-4cc0167fac0e,2025-09-16T12:52:44.518757,2,19.26,0
P1012,bcbd12d5-a45a-4148-9276-75ec17746782,2025-09-16T22:26:13.518757,2,14.15,22
P1007,d510d398-9db0-46ae-b089-e6fcdd850a7b,2025-09-17T00:46:41.518757,1,17.68,8
P1007,64b9b86d-0517-46e2-b00a-f6e95b2fb8d9,2025-09-16T10:51:10.518757,3,16.94,0
P1005,195fbf24-c127-4138-87ba-d3e0017ee68e,2025-09-16T20:06:51.518757,1,25.09,20
P1019,54038011-1f2a-42c2-bcb6-05e52409ea6b,2025-09-16T17:53:48.518757,3,6.23,1
P1010,0c1d9bac-79c2-4546-8ad6-056fb77c34ab,2025-09-16T23:20:07.518757,2,5.88,1
P1010,1d2f62a9-a444-4622-8ac5-f8815dcfdbd0,2025-09-16T11:52:21.518757,3,5.82,0
P1011,8ebbfab2-bc28-4b4d-a234-86d0ff23ee66,2025-09-17T01:32:15.518757,1,21.12,0
P1005,cf1fb156-2702-4617-81ea-79a513faa98e,2025-09-17T03:22:34.518757,3,23.2,55
P1002,0c1d9bac-79c2-4546-8ad6-056fb77c34ab,2025-09-16T16:34:36.518757,2,12.38,9
P1011,5b0874ef-7736-4d3f-9f35-9207c5d80d11,2025-09-17T01:43:18.518757,3,21.71,45
P1012,eb998cb8-008b-46bc-9be1-25a11498da7a,2025-09-17T01:54:02.518757,1,13.24,0
P1002,163c14bb-d280-4c2f-b981-861a3555171a,2025-09-17T08:49:23.518757,3,11.28,13
P1022,3dfc4094-e696-4846-a72b-f74b6253db1e,2025-09-17T04:43:31.518757,2,19.88,0
P1013,f69356b1-0066-48cd-b3f7-3fa67721a038,2025-09-17T07:12:47.518757,1,10.12,0
P1016,5cc63c7a-de1a-4515-b5ec-d34dfadb2fb2,2025-09-17T08:03:34.518757,3,7.23,0
P1002,3fb78b90-8161-4204-875b-1611842dd965,2025-09-17T03:04:22.518757,1,10.78,0
P1012,64b9b86d-0517-46e2-b00a-f6e95b2fb8d9,2025-09-17T02:34:58.518757,3,13.83,0
P1002,42f4a921-bcb3-48ad-842a-da3ec537ddaf,2025-09-16T23:11:53.518757,2,12.53,0
P1024,0e3c5c8f-d9d6-4d66-b9bb-a7a0ed12fdd7,2025-09-17T01:36:55.518757,3,22.74,68
P1015,462b45a3-7662-42d4-8382-1c992603c6c8,2025-09-16T13:19:30.518757,1,11.2,0
P1006,9a22b0d7-6a60-401d-93fc-7f243827dee0,2025-09-16T14:46:31.518757,3,26.63,71
P1021,e689efe3-cbf4-4648-ba57-2f569f0dc7db,2025-09-16T17:07:54.518757,1,8.21,0
P1004,47f49e30-2ef8-4c29-9bcc-756483eba6ed,2025-09-16T22:10:42.518757,2,18.86,33
P1017,abc6c5f1-a209-4507-95c2-9acf6f00b3f3,2025-09-17T21:49:09.518757,2,15.08,12
P1017,eb998cb8-008b-46bc-9be1-25a11498da7a,2025-09-18T10:18:45.518757,2,15.13,0
P1018,10007012-6e03-4c98-938b-b098349f81c4,2025-09-18T07:55:32.518757,1,18.91,0
P1002,1ec07e69-4807-4469-8b56-134b57f78fe1,2025-09-17T11:03:37.518757,3,12.37,0
P1017,fc3622a2-20d2-4ab5-a6ba-2c090e4a4a4a,2025-09-17T13:06:03.518757,1,13.33,5
P1006,62a6bf8b-fbc5-4489-a4e1-664b0a6a3b7f,2025-09-17T19:15:58.518757,1,27.2,0
P1023,d3a6aaf3-d739-44af-ac7d-fc2febaec88b,2025-09-17T23:14:48.518757,1,10.84,0
P1013,cf1fb156-2702-4617-81ea-79a513faa98e,2025-09-17T16:32:48.518757,3,10.37,18
